d_sample,error_n,error_min,error_mean,error_max,error_stddev,Volume,Result
0.01, 100, 6.58035e-05, 0.00012358, 0.000186443, 3.11075e-05,  1.61051, 1
0.01, 100, 6.31809e-05, 0.000133746, 0.000517368, 4.95674e-05,  2.59374, 2.89189
0.01, 100, 6.55651e-05, 0.000119607, 0.000235558, 3.71114e-05,  4.17725, 2.41119
0.01, 100, 6.1512e-05, 0.000121443, 0.000225067, 3.52271e-05,  6.7275, 2.13509
0.01, 100, 6.62804e-05, 0.000124002, 0.000208855, 3.47365e-05,  10.8347, 2.93569
0.01, 100, 6.38962e-05, 0.000122714, 0.00019598, 3.53339e-05,  17.4494, 2.54309
0.01, 100, 3.31402e-05, 0.000122688, 0.000193357, 3.48344e-05,  28.1024, 2.92743
0.01, 100, 6.4373e-05, 0.000119538, 0.000396252, 4.48066e-05,  45.2593, 2.03491
0.01, 100, 6.60419e-05, 0.000122769, 0.000178337, 3.47061e-05,  72.8905, 1.15075
0.01, 100, 6.24657e-05, 0.000120139, 0.000209808, 3.44219e-05,  117.391, 1.907
0.01, 100, 6.27041e-05, 0.000115814, 0.000631094, 6.33166e-05,  189.059, 2.82968
0.01, 100, 6.41346e-05, 0.000127788, 0.000212908, 3.44487e-05,  304.482, 2.38464
0.01, 100, 2.83718e-05, 0.000114441, 0.000179529, 3.63707e-05,  490.371, 0.929677
0.01, 100, 6.50883e-05, 0.000124447, 0.000193596, 3.41145e-05,  789.747, 1.90448
