d_sample,error_n,error_min,error_mean,error_max,error_stddev,Volume,Result
0.01, 100, 6.27041e-05, 0.000102541, 0.000160933, 2.49109e-05,  0, 0
0.01, 100, 6.27041e-05, 0.000116527, 0.0001688, 3.25555e-05,  0, 0
0.01, 100, 3.38554e-05, 0.000133059, 0.000171185, 2.79123e-05,  0, 0
0.01, 100, 6.34193e-05, 0.000130734, 0.000158548, 2.83967e-05,  0, 0
0.01, 100, 6.10352e-05, 8.74376e-05, 0.00113773, 0.00010907,  0, 0
0.01, 100, 6.62804e-05, 0.000201674, 0.0026505, 0.000372184,  0, 0
0.01, 100, 5.38826e-05, 0.000149586, 0.00682664, 0.000673621,  0, 0
0.01, 100, 3.17097e-05, 6.99782e-05, 0.000241995, 2.02026e-05,  0, 0
0.01, 100, 5.45979e-05, 8.64649e-05, 0.000663757, 8.01881e-05,  0, 0
0.01, 100, 5.98431e-05, 0.000107148, 0.00232792, 0.000254626,  0, 0
