d_sample,error_n,error_min,error_mean,error_max,error_stddev,Volume,Result
0.01, 100, 6.84261e-05, 0.000134871, 0.000180721, 2.61338e-05,  0, 0
0.01, 100, 6.41346e-05, 0.0001353, 0.000159502, 2.71787e-05,  0, 0
0.01, 100, 6.27041e-05, 0.000137393, 0.000165462, 2.41465e-05,  0, 0
0.01, 100, 6.62804e-05, 0.000139871, 0.000175953, 2.25445e-05,  0, 0
0.01, 100, 6.34193e-05, 0.000133078, 0.000160217, 2.98865e-05,  0, 0
0.01, 100, 6.79493e-05, 0.000132565, 0.000174522, 2.54449e-05,  0, 0
0.01, 100, 6.84261e-05, 0.000138714, 0.000161409, 2.27363e-05,  0, 0
0.01, 100, 6.4373e-05, 0.000135803, 0.000170469, 2.5319e-05,  0, 0
0.01, 100, 7.08103e-05, 0.000138545, 0.000161409, 2.31873e-05,  0, 0
0.01, 100, 6.48499e-05, 0.00013001, 0.000174999, 3.11153e-05,  0, 0
